epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1874,1.94523,4.00878,1.43382,0.00667,0.91892,0.15445,0.06856,0.6226,7.04689,0.58045,0.00016,0.00016,0.00016
2,13.3725,1.30267,2.44585,1.04749,0.00725,1,0.85172,0.42513,0.5369,6.83279,0.46208,0.000339979,0.000339979,0.000339979
3,16.3024,1.17957,1.80202,0.9843,0.00725,1,0.32887,0.14306,0.50847,6.84445,0.46897,0.000519873,0.000519873,0.000519873
4,19.5468,1.07288,1.61322,0.9747,0.00725,1,0.05155,0.01414,0.5259,6.88545,0.4955,0.000699615,0.000699615,0.000699615
5,22.6863,1.02645,1.5832,0.96727,0.00676,0.93243,0.05024,0.01939,0.55838,6.91559,0.50365,0.00087914,0.00087914,0.00087914
6,25.9076,1.02274,1.28564,0.96733,0.00725,1,0.50221,0.35962,0.53857,6.75882,0.50868,0.00105838,0.00105838,0.00105838
7,29.0846,1.06749,1.34537,0.95787,0.98574,0.93428,0.947,0.69256,0.44798,6.56388,0.47363,0.00123728,0.00123728,0.00123728
8,32.4894,1.00449,1.25848,0.94119,0.98549,0.9179,0.98607,0.73864,0.45644,6.36916,0.47771,0.00141576,0.00141576,0.00141576
9,35.9306,0.99568,1.15319,0.94655,0.90874,0.97297,0.98773,0.73584,0.48238,6.40351,0.49617,0.00159375,0.00159375,0.00159375
10,39.2447,0.94801,1.14218,0.92976,0.94773,0.98649,0.99316,0.74152,0.46999,6.39941,0.49704,0.00177121,0.00177121,0.00177121
11,42.4173,0.93534,1.07965,0.91998,0.98259,1,0.9942,0.78098,0.41156,6.59363,0.47039,0.00194806,0.00194806,0.00194806
12,45.4919,0.97718,1.085,0.94755,0.97345,1,0.995,0.72889,0.47971,4.85971,0.47473,0.00198526,0.00198526,0.00198526
13,48.5855,0.92258,1.03509,0.90443,0.99753,1,0.995,0.80589,0.40801,4.63662,0.45647,0.00198246,0.00198246,0.00198246
14,51.7863,0.89217,0.99246,0.9147,1,0.98589,0.99487,0.79246,0.42223,4.10089,0.45839,0.00197943,0.00197943,0.00197943
15,54.8825,0.86015,0.88748,0.89868,0.98443,1,0.98967,0.8051,0.40002,4.44419,0.46268,0.00197616,0.00197616,0.00197616
16,57.9863,0.91573,0.92395,0.91459,0.97115,1,0.98987,0.75064,0.41892,4.45397,0.4728,0.00197265,0.00197265,0.00197265
17,61.1617,0.87886,0.96094,0.92147,1,0.99907,0.995,0.79766,0.40622,3.28386,0.46065,0.0019689,0.0019689,0.0019689
18,64.0625,0.8894,0.90996,0.89635,0.97124,1,0.99393,0.76874,0.41082,3.4819,0.46919,0.00196491,0.00196491,0.00196491
19,67.3939,0.86699,0.85927,0.89883,0.97776,0.98649,0.98731,0.76142,0.41719,5.89398,0.45862,0.00196069,0.00196069,0.00196069
20,70.6703,0.85452,0.8391,0.9035,0.98492,1,0.99473,0.82404,0.37577,3.89968,0.45944,0.00195624,0.00195624,0.00195624
21,73.9033,0.88537,0.7964,0.91446,1,0.99889,0.995,0.76438,0.42417,2.79692,0.46024,0.00195155,0.00195155,0.00195155
22,76.8439,0.84421,0.78603,0.90459,0.99828,1,0.995,0.82765,0.35054,2.01254,0.45602,0.00194662,0.00194662,0.00194662
23,80.1035,0.82876,0.77107,0.89567,1,0.98478,0.99487,0.81926,0.36728,1.59556,0.45328,0.00194147,0.00194147,0.00194147
24,83.077,0.80285,0.74644,0.88084,0.99646,1,0.995,0.79166,0.38861,1.42815,0.45659,0.00193609,0.00193609,0.00193609
25,86.3376,0.78216,0.73242,0.89214,0.99478,1,0.995,0.80248,0.37677,1.33071,0.45469,0.00193048,0.00193048,0.00193048
26,89.3732,0.76062,0.71492,0.86852,1,0.99728,0.995,0.8131,0.3626,1.60798,0.45227,0.00192464,0.00192464,0.00192464
27,92.5826,0.76883,0.67391,0.88039,0.99895,1,0.995,0.81576,0.33804,1.23134,0.45827,0.00191858,0.00191858,0.00191858
28,95.9603,0.7796,0.67018,0.88318,1,0.99789,0.995,0.8293,0.34597,1.50017,0.44964,0.00191229,0.00191229,0.00191229
29,99.2197,0.74254,0.64765,0.87795,0.99919,1,0.995,0.85509,0.32842,0.74525,0.44308,0.00190578,0.00190578,0.00190578
30,102.52,0.76785,0.63896,0.87519,0.99867,1,0.995,0.82498,0.3448,0.62598,0.44859,0.00189905,0.00189905,0.00189905
31,105.505,0.74203,0.61727,0.86646,0.99848,1,0.995,0.81335,0.37711,0.82246,0.44778,0.0018921,0.0018921,0.0018921
32,108.747,0.76089,0.60949,0.87897,0.97296,1,0.99447,0.81471,0.36487,0.88787,0.45308,0.00188493,0.00188493,0.00188493
33,112.04,0.74297,0.60736,0.86562,0.98662,0.99682,0.9938,0.80607,0.36913,0.73448,0.45833,0.00187754,0.00187754,0.00187754
34,115.44,0.75927,0.63412,0.88388,0.98239,1,0.99433,0.81899,0.34767,0.46543,0.45363,0.00186995,0.00186995,0.00186995
35,118.796,0.75054,0.61558,0.86562,0.99751,1,0.995,0.82103,0.35696,0.54632,0.44678,0.00186213,0.00186213,0.00186213
36,122.095,0.77514,0.62287,0.86629,0.98551,1,0.99433,0.82538,0.34488,0.44295,0.44031,0.00185411,0.00185411,0.00185411
37,125.505,0.79822,0.60151,0.87829,0.99854,1,0.995,0.8552,0.3149,0.50999,0.4378,0.00184588,0.00184588,0.00184588
38,128.696,0.75051,0.58454,0.87382,1,0.99932,0.995,0.84096,0.32654,0.78813,0.44109,0.00183745,0.00183745,0.00183745
39,131.914,0.71431,0.55191,0.87622,0.98582,1,0.99487,0.84101,0.35244,0.37857,0.4493,0.00182881,0.00182881,0.00182881
40,135.106,0.69287,0.55394,0.86334,0.99915,1,0.995,0.86301,0.29473,0.25371,0.4354,0.00181997,0.00181997,0.00181997
41,138.336,0.73251,0.56609,0.87947,0.99355,1,0.995,0.83585,0.32968,0.28365,0.43673,0.00181093,0.00181093,0.00181093
42,141.668,0.81922,0.60041,0.89862,0.9882,1,0.995,0.81578,0.35069,0.3142,0.44944,0.00180169,0.00180169,0.00180169
43,144.921,0.74427,0.56184,0.87291,0.99458,1,0.995,0.81747,0.34463,0.28297,0.43935,0.00179225,0.00179225,0.00179225
44,148.035,0.69274,0.54105,0.87219,0.99684,1,0.995,0.83189,0.30704,0.30964,0.43799,0.00178263,0.00178263,0.00178263
45,151.37,0.72092,0.5339,0.87074,0.99906,1,0.995,0.82658,0.33792,0.26556,0.43775,0.00177281,0.00177281,0.00177281
46,154.424,0.70931,0.54424,0.87105,1,0.99993,0.995,0.83886,0.31599,0.26725,0.4378,0.0017628,0.0017628,0.0017628
47,157.684,0.72181,0.55395,0.88089,0.99978,1,0.995,0.82742,0.3389,0.25297,0.43952,0.00175261,0.00175261,0.00175261
