epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9177,1.19389,3.44098,1.63834,0.00313,0.5,0.44946,0.34618,1.04495,3.11581,1.15784,0.00015003,0.00015003,0.00015003
2,14.4272,0.78029,2.5168,1.05037,0.00446,0.5,0.4975,0.45494,1.14004,3.0823,0.89534,0.000316711,0.000316711,0.000316711
3,16.8922,0.89222,1.79133,0.99011,0.00498,0.5,0.49559,0.37903,1.48627,3.14448,1.01473,0.000483312,0.000483312,0.000483312
4,19.2349,0.91286,1.36743,0.98229,0.005,0.5,0.4975,0.4455,1.26897,2.67311,0.896,0.000649773,0.000649773,0.000649773
5,21.4646,0.88713,1.22285,1.0294,1,0.44351,0.4975,0.41472,1.31072,2.4981,1.06878,0.000816032,0.000816032,0.000816032
6,23.7743,0.80845,1.05143,0.97425,0.97192,0.38201,0.48279,0.42056,1.22886,2.34212,0.95861,0.000982029,0.000982029,0.000982029
7,26.1667,0.76381,0.96415,0.96575,0.94027,0.48864,0.47305,0.38539,1.17079,2.13128,0.901,0.0011477,0.0011477,0.0011477
8,28.5416,0.79076,1.09332,0.97866,0.99689,0.48864,0.59766,0.34124,1.57159,2.05813,1.68659,0.00131299,0.00131299,0.00131299
9,30.8773,0.81475,0.95371,0.98626,0.94343,0.44318,0.77797,0.3953,1.40314,1.92898,1.29941,0.00147784,0.00147784,0.00147784
10,33.1133,0.78205,0.88127,0.98568,0.91296,0.47727,0.89897,0.28247,1.78415,2.59916,1.95374,0.00164218,0.00164218,0.00164218
11,35.3767,0.76696,0.89168,0.98222,0.68738,0.66101,0.91338,0.50506,1.2125,1.75221,1.13975,0.00165684,0.00165684,0.00165684
12,37.6147,0.79832,0.87628,0.96809,0.69828,0.80235,0.94705,0.61638,0.9968,1.24283,1.00441,0.00165471,0.00165471,0.00165471
13,39.9209,0.76093,0.81024,0.95377,0.80391,0.84508,0.97573,0.61883,1.0864,1.03396,0.93027,0.00165238,0.00165238,0.00165238
14,42.193,0.77031,0.76655,0.96493,0.89482,0.92246,0.95225,0.64456,0.96865,0.82667,0.83045,0.00164986,0.00164986,0.00164986
15,44.5132,0.77065,0.76949,0.98298,0.94248,0.89957,0.95547,0.64648,0.99086,0.79966,0.93389,0.00164713,0.00164713,0.00164713
16,46.8693,0.75219,0.72838,0.96635,0.92605,0.93667,0.95009,0.63524,0.93885,0.76886,0.88615,0.0016442,0.0016442,0.0016442
17,49.033,0.74483,0.71688,0.95238,0.87465,0.94333,0.96442,0.66714,0.95971,0.83261,0.85887,0.00164108,0.00164108,0.00164108
18,51.2956,0.73902,0.724,0.95351,0.85648,0.78333,0.93282,0.55364,1.10943,1.21178,0.88986,0.00163775,0.00163775,0.00163775
19,53.5375,0.70325,0.71352,0.93103,0.86231,0.90081,0.92687,0.57803,1.03438,1.04298,0.86725,0.00163424,0.00163424,0.00163424
20,55.7484,0.70842,0.62337,0.90888,0.8827,0.94716,0.98291,0.68426,0.85832,0.65255,0.85995,0.00163052,0.00163052,0.00163052
21,58.0081,0.65171,0.62633,0.92431,0.9211,0.89569,0.97104,0.69175,0.81485,0.59744,0.81446,0.00162661,0.00162661,0.00162661
22,60.2916,0.68989,0.61915,0.93275,0.92612,0.92581,0.95502,0.6588,0.90929,0.60938,0.81105,0.00162251,0.00162251,0.00162251
23,62.6711,0.66339,0.57498,0.91462,0.96028,0.94063,0.97338,0.70334,0.83535,0.56196,0.80456,0.00161822,0.00161822,0.00161822
24,64.9866,0.6596,0.64959,0.94001,0.9488,0.96694,0.98568,0.74027,0.76431,0.52577,0.77103,0.00161373,0.00161373,0.00161373
25,67.273,0.65604,0.55684,0.92481,0.96646,0.93667,0.97164,0.70143,0.82101,0.58897,0.79493,0.00160905,0.00160905,0.00160905
26,69.5244,0.67877,0.55514,0.92976,0.96594,0.93761,0.96518,0.6821,0.86889,0.61522,0.78607,0.00160419,0.00160419,0.00160419
27,71.7689,0.66148,0.56076,0.93145,0.93148,0.93333,0.97699,0.70399,0.80723,0.64784,0.80964,0.00159913,0.00159913,0.00159913
28,73.9952,0.68366,0.51219,0.93533,0.97037,0.94506,0.96852,0.67106,0.91295,0.56228,1.01361,0.00159389,0.00159389,0.00159389
29,76.4195,0.67794,0.54123,0.95955,0.96174,0.87596,0.96694,0.64226,0.94912,0.64496,0.93308,0.00158847,0.00158847,0.00158847
30,78.6372,0.68055,0.5183,0.96882,0.89362,0.86634,0.97537,0.67707,0.84998,0.91948,0.84773,0.00158286,0.00158286,0.00158286
31,80.8817,0.6278,0.493,0.93705,0.91381,0.92667,0.97244,0.6861,0.89857,0.68064,0.83361,0.00157706,0.00157706,0.00157706
32,83.2424,0.67063,0.50911,0.94495,0.97336,0.96,0.98497,0.73799,0.73862,0.4146,0.77494,0.00157109,0.00157109,0.00157109
33,85.6071,0.64932,0.48643,0.9062,0.96636,0.97333,0.98796,0.73055,0.74877,0.40973,0.79454,0.00156493,0.00156493,0.00156493
34,87.9419,0.65115,0.45946,0.92606,0.97561,0.97288,0.9844,0.71473,0.7596,0.44209,0.79927,0.0015586,0.0015586,0.0015586
35,90.2664,0.63829,0.47444,0.92202,0.96093,0.96667,0.98855,0.73125,0.75058,0.40304,0.79554,0.00155209,0.00155209,0.00155209
36,92.6968,0.61467,0.47757,0.92892,0.98257,0.94333,0.98179,0.71119,0.88601,0.52116,0.87909,0.0015454,0.0015454,0.0015454
37,94.9442,0.60768,0.42909,0.91153,0.95624,0.96,0.98888,0.72691,0.7795,0.45864,0.79563,0.00153854,0.00153854,0.00153854
38,97.2653,0.59259,0.45672,0.90797,0.97421,0.97976,0.99315,0.73586,0.74053,0.45933,0.79282,0.00153151,0.00153151,0.00153151
39,99.5745,0.62826,0.49279,0.92523,0.93886,0.93298,0.97924,0.70055,0.81582,0.48953,0.82049,0.00152431,0.00152431,0.00152431
40,101.822,0.62086,0.47001,0.89795,0.91733,0.96333,0.9806,0.66949,0.88139,0.4822,0.863,0.00151694,0.00151694,0.00151694
41,104.076,0.60998,0.42359,0.89826,0.96923,0.95667,0.98132,0.68988,0.77698,0.49763,0.78622,0.00150941,0.00150941,0.00150941
42,106.34,0.59492,0.41131,0.90981,0.97323,0.96,0.98622,0.75732,0.70466,0.38041,0.75364,0.00150171,0.00150171,0.00150171
43,108.71,0.578,0.40881,0.9205,0.98789,0.96573,0.9881,0.76094,0.69124,0.37774,0.78091,0.00149384,0.00149384,0.00149384
44,110.924,0.61775,0.41158,0.90093,0.98304,0.97704,0.99256,0.74831,0.75703,0.42506,0.80077,0.00148582,0.00148582,0.00148582
45,113.245,0.6025,0.37706,0.88836,0.96935,0.96313,0.98228,0.74547,0.72735,0.39085,0.75538,0.00147764,0.00147764,0.00147764
46,115.465,0.60708,0.42558,0.90616,0.96212,0.96333,0.99031,0.75197,0.69758,0.37106,0.75422,0.0014693,0.0014693,0.0014693
47,117.662,0.58034,0.37041,0.87483,0.97949,0.97174,0.98741,0.76047,0.65611,0.33817,0.74668,0.0014608,0.0014608,0.0014608
48,119.879,0.56494,0.36241,0.88643,0.97365,0.97667,0.9883,0.75188,0.68653,0.32277,0.78652,0.00145215,0.00145215,0.00145215
49,122.142,0.55857,0.36434,0.88806,0.98827,0.96442,0.99323,0.75954,0.68301,0.34463,0.75466,0.00144335,0.00144335,0.00144335
50,124.667,0.56145,0.38229,0.89782,0.98955,0.97667,0.98977,0.75567,0.71256,0.36483,0.78847,0.00143441,0.00143441,0.00143441
51,126.886,0.57054,0.3579,0.89432,0.97467,0.98,0.9913,0.77654,0.68258,0.37032,0.76642,0.00142531,0.00142531,0.00142531
52,129.151,0.60969,0.42834,0.88774,0.97452,0.97824,0.98891,0.76445,0.66756,0.34268,0.74305,0.00141608,0.00141608,0.00141608
